ts	phase	decision	why	evidence	result
2026-09-25T08:37:55Z	frame	Use independent R2, R3, and SQVector worktrees	Separate branch writes and preserve the dirty primary checkout	docs/r2-r3-execution.md	open
2026-09-25T08:45:44Z	baseline	Stopped unbounded SwiftPM build and limited future builds to two jobs	Concurrent Swift builds saturated the host	swift build --build-tests exit 130	rerun pending
2026-09-25T09:03:18Z	catalog	Added a versioned public 24-entry Fowler catalog and documentation parity test	Catalog states must not claim support before release gates pass	Sources/SwiftDebtCore/RefactoringCodeSmellCatalog.swift; Tests/SwiftDebtCoreTests/RefactoringCodeSmellCatalogTests.swift	swift build --build-tests --jobs 2 and swift test --jobs 2 passed
2026-09-25T09:04:29Z	catalog	Verified current CLI after catalog commit	New catalog must preserve R1 analysis and report behavior	CLI output for var sharedCounter = 0: 10 committed executions and global-data detection	VERIFIED
2026-09-25T09:07:09Z	catalog	Opened catalog PR 56 at b445a97	Independent versioned catalog can be reviewed and merged before repository analysis	https://github.com/brunogama/SwiftDebt/pull/56	checks running
2026-09-25T09:17:24Z	baseline	Baseline origin/main build remained unverified after interruption	The later green build includes the catalog change and cannot substitute for pre-change evidence	0d1b395; initial build exit 130	INCONCLUSIVE
2026-09-25T09:24:00Z	catalog-review	Corrected Long Function and Large Class catalog contracts	Independent review found line-count claims contradicted actual syntax rules	PR 56; RefactoringSmellRuleTests.swift	VERIFIED by same-line rule test
2026-09-25T09:35:00Z	catalog-validation	Validated rule references on construction and decode, and compared documentation predicates	Catalog JSON must not encode invalid identity/revision pairs or drift from published evidence map	RefactoringCodeSmellCatalogTests.swift; local filtered suite	PASS
2026-09-25T09:41:00Z	optional-sqvector	Kept PR 55 in draft	Published SQVector revisions lack the local SQVectorStatic product, so a fresh checkout cannot resolve the optional package	PR 55; Integrations/SwiftDebtSQVector/Package.swift	OPEN
2026-09-25T09:45:00Z	r2-slice	Opened draft PR 58 with Research-qualified repository evidence	Deterministic slice is reviewable but R2 accuracy, cache, and performance gates remain unmet	PR 58; docs/r2-repository-evidence.md	PARTIAL
2026-09-25T09:45:00Z	r3-slice	Opened draft PR 57 with conservative persisted lifecycle foundation	Snapshot storage and queries are proven but analyze-to-store and continuity evidence remain open	PR 57; docs/r3-lifecycle-foundation.md	PARTIAL
2026-09-25T09:47:00Z	r2-review	Held PR 58 after independent review found five correctness defects	False absence and nondeterministic evidence are release blockers	PR 58 review findings	FIX IN PROGRESS
2026-09-25T09:50:00Z	r3-tracking	Created GitHub issue 59 for remaining R3 acceptance work	GitHub Issues is the project ticket tracker	https://github.com/brunogama/SwiftDebt/issues/59	OPEN
