ts	phase	decision	why	evidence	result
2026-09-22T13:49:27Z	frame	Treat SwiftDebt as a coordinated breaking rename across package, CLI, modules, plugins, configuration, metadata, automation, and documentation	The supplied naming matrix defines one product identity, so compatibility aliases would leave two public contracts	/tmp/swiftdebt-rename-baseline/	baseline captured
2026-09-22T13:49:27Z	design	Skip competing architecture proposals and keep the existing dependency direction	The target module shape is explicitly settled and the migration is mechanical rather than a new architecture	Package.swift	workflow fixed
2026-09-22T14:10:00Z	contract	Replace the unrelated swift-deep-research agent contract with current SwiftDebt identity and manifest facts	Agent instructions must describe the repository they govern	AGENTS.md;docs/agents/domain.md	implemented
2026-09-22T14:10:00Z	compatibility	Treat report identity changes as a breaking wire-format revision and bump the native report schema from 1 to 2	The report discriminator and generator are externally observable	Sources/SwiftDebtCore/DebtReport.swift	implemented
2026-09-22T14:10:00Z	history	Keep the old scma executable paths only for benchmark worktrees pinned to pre-rename commits	Historical commits cannot produce the renamed executable	.github/workflows/debtmap-performance.yml	implemented
2026-09-22T14:10:00Z	guardrail	Reject retired product and stale project identities in tracked active files	The rename must remain complete as the repository evolves	scripts/check_product_identity.py;ci	implemented
2026-09-22T15:06:13Z	ticket-audit	Close tickets 06 through 22 only after implementation, proof, and release gates	Wave audits found real gaps in LCOV start-line matching, bounded rename-aware Git history, maximum file size CLI controls, documentation, and performance evidence	Sources;Tests;docs;benchmarks	implemented pending final post-commit gate
2026-09-22T15:06:13Z	performance	Use 456cd14 as the capability-equivalent performance reference and retain b0ae comparisons as diagnostics only	The frozen-input provenance commit lacks later always-on analysis and cannot measure the same workload	benchmarks/debtmap-baseline/methodology.v2.json;benchmarks/debtmap-baseline/evidence/2026-09-22-swiftdebt-rename/	passed with 15 measured runs
2026-09-22T15:06:13Z	scalability	Replace 100 ms Git subprocess polling with termination signaling	Per-file rename-following is required for correctness, while fixed polling dominated repository-history latency	Sources/SwiftDebtKit/GitHistoryProcess.swift;GitHistoryEvidenceProviderTests	implemented and performance-gated
2026-09-22T15:06:13Z	platforms	Declare mobile Apple platforms and make unavailable Git subprocess evidence explicit	The package must cover iOS, iPadOS, tvOS, watchOS, and visionOS without pretending Process exists there	Package.swift;Sources/SwiftDebtKit/GitHistoryProcess.swift	iOS simulator build passed; other SDKs unavailable locally
2026-09-22T15:06:13Z	review	Apply independent Fable review findings before ticket deletion	The review identified stale gate evidence, false install guidance, undocumented benchmark reference policy, and missing boundary tests	/tmp/swiftdebt-cross-review-output.md	blocking findings remediated or superseded by explicit user platform requirement
2026-09-22T15:06:13Z	comments	Retain only safety, public API, and interpreter comments identified by no-comments review	Generated output ownership and overwrite safety require the stamp marker	comment-sicko review	zero deletions; no must-kill comments
2026-09-22T15:13:00Z	closure	Delete completed tickets 06 through 22 from the active queue	All acceptance criteria, independent review, committed-path dogfood, 184 tests, 28 smoke checks, performance budgets, and 100 percent domain coverage passed	.scratch/tickets;docs/debtmap/release-gate-evidence.v2.json	deleted; recoverable from Git history
